Key,County,State,Country,Update,Confirmed,Deaths,Recovered,Active
"Bethel, Alaska, US",bethel,alaska,US,2020-04-22 23:30:53,1,0,0,1
"Bexar, Texas, US",bexar,texas,US,2020-04-22 23:30:53,1080,39,0,1041
"Bibb, Alabama, US",bibb,alabama,US,2020-04-22 23:30:53,34,0,0,34
"Bibb, Georgia, US",bibb,georgia,US,2020-04-22 23:30:53,224,4,0,220
"Bienville, Louisiana, US",bienville,louisiana,US,2020-04-22 23:30:53,69,9,0,60
"Big Horn, Montana, US",big-horn,montana,US,2020-04-22 23:30:53,3,0,0,3
"Big Horn, Wyoming, US",big-horn,wyoming,US,2020-04-22 23:30:53,2,0,0,2
"Big Stone, Minnesota, US",big-stone,minnesota,US,2020-04-22 23:30:53,1,0,0,1
"Bingham, Idaho, US",bingham,idaho,US,2020-04-22 23:30:53,3,0,0,3
"Black Hawk, Iowa, US",black-hawk,iowa,US,2020-04-22 23:30:53,379,4,0,375
"Blackford, Indiana, US",blackford,indiana,US,2020-04-22 23:30:53,6,1,0,5
"Bladen, North Carolina, US",bladen,north-carolina,US,2020-04-22 23:30:53,4,0,0,4
"Blaine, Idaho, US",blaine,idaho,US,2020-04-22 23:30:53,480,5,0,475
"Blair, Pennsylvania, US",blair,pennsylvania,US,2020-04-22 23:30:53,14,0,0,14
"Blanco, Texas, US",blanco,texas,US,2020-04-22 23:30:53,5,0,0,5
"Bland, Virginia, US",bland,virginia,US,2020-04-22 23:30:53,0,0,0,0
"Bleckley, Georgia, US",bleckley,georgia,US,2020-04-22 23:30:53,5,0,0,5
"Bledsoe, Tennessee, US",bledsoe,tennessee,US,2020-04-22 23:30:53,11,0,0,11
"Blount, Alabama, US",blount,alabama,US,2020-04-22 23:30:53,29,0,0,29
"Blount, Tennessee, US",blount,tennessee,US,2020-04-22 23:30:53,46,3,0,43
"Blue Earth, Minnesota, US",blue-earth,minnesota,US,2020-04-22 23:30:53,26,0,0,26
"Bolivar, Mississippi, US",bolivar,mississippi,US,2020-04-22 23:30:53,87,6,0,81
"Bollinger, Missouri, US",bollinger,missouri,US,2020-04-22 23:30:53,3,0,0,3
"Bon Homme, South Dakota, US",bon-homme,south-dakota,US,2020-04-22 23:30:53,4,0,0,4
"Bond, Illinois, US",bond,illinois,US,2020-04-22 23:30:53,4,1,0,3
"Bonner, Idaho, US",bonner,idaho,US,2020-04-22 23:30:53,4,0,0,4
"Bonneville, Idaho, US",bonneville,idaho,US,2020-04-22 23:30:53,24,0,0,24
"Boone, Arkansas, US",boone,arkansas,US,2020-04-22 23:30:53,4,0,0,4
"Boone, Illinois, US",boone,illinois,US,2020-04-22 23:30:53,41,6,0,35
"Boone, Indiana, US",boone,indiana,US,2020-04-22 23:30:53,166,18,0,148
"Boone, Iowa, US",boone,iowa,US,2020-04-22 23:30:53,6,0,0,6
"Boone, Kentucky, US",boone,kentucky,US,2020-04-22 23:30:53,93,2,0,91
